feature	pForward	zForward	probForward	pReverse	zReverse	probReverse
Neurosynth_TFIDF__amygdala	0.0	inf	0.23948135828242875	0.0	inf	0.8859127750142878
Neurosynth_TFIDF__neutral	1.2800009603429545e-31	11.699636846181814	0.19131985556748568	9.207741036435157e-106	21.842264165989583	0.7879956768823645
Neurosynth_TFIDF__faces	1.8100511213978823e-18	8.768535497568786	0.18339046248995722	2.3341313524138112e-82	19.223927946850814	0.7731176718918611
Neurosynth_TFIDF__emotional	4.316540831367598e-121	23.399573273025688	0.1599156830989471	4.2087841809409465e-109	22.190858884165703	0.7651866108888228
Neurosynth_TFIDF__emotion	1.8409612823642777e-27	10.857308097175487	0.17139366030734143	4.459882505802823e-77	18.58241359191614	0.7595568038856982
Neurosynth_TFIDF__affective	0.0009282971385709405	3.311402103437639	0.16585552861412028	1.2032519109139936e-44	14.01838292291778	0.7375467325732654
Neurosynth_TFIDF__face	4.7117410820180796e-07	5.037693918423646	0.15654655612244897	7.76381595421289e-42	13.55148987812532	0.7236265862750291
Neurosynth_TFIDF__hippocampus	6.227405649635915e-10	6.184564730720448	0.14572437713372557	5.582050280882473e-35	12.339035565339207	0.7030748621452382
Neurosynth_TFIDF__orbitofrontal	0.30478710455752456	1.0262216798087545	0.13761746535575967	5.106828870200362e-19	8.909922413117211	0.674565267985402
Neurosynth_TFIDF__reward	0.3947551686682829	0.8510255343749528	0.1296949881685274	5.0915957521947106e-14	7.529548792624184	0.6522896503266044
Neurosynth_TFIDF__negative	2.1513348199253426e-20	9.254550601575666	0.12486769749482003	1.5239149235153157e-20	9.291316557368221	0.6516150174288486
Neurosynth_TFIDF__social	1.5006869494180427e-08	5.661484921675572	0.12567826515508668	6.701398955332665e-17	8.352180777520019	0.6477906927264218
Neurosynth_TFIDF__stimuli	7.765140974523333e-122	23.47263526999705	0.11490668560012848	3.933218858087612e-25	10.355935646262166	0.6424008803607455
Neurosynth_TFIDF__disorders	0.49002027771513296	-0.6902765723907911	0.12243929815128449	1.1672661217452097e-08	5.704439399059159	0.6268571264799944
Neurosynth_TFIDF__responses	8.498162482739963e-87	19.747086246631255	0.11155748696489362	4.0625791735558466e-16	8.136682009056042	0.6184305604548843
Neurosynth_TFIDF__fusiform	0.8577887569084574	-0.17918969253092082	0.11978644066859605	7.93843611098948e-08	5.368522335738003	0.618384465392115
Neurosynth_TFIDF__positively	0.01696644130270139	-2.387434163798683	0.12007263930953327	1.7106439362624615e-06	4.784909499321622	0.6163350414377242
Neurosynth_TFIDF__positive	2.8598401525679137e-05	4.184349358377388	0.11685613347909793	2.9827977644852785e-09	5.932542152002182	0.6139509088982159
